title,author,lenth
The Lion: Son of the Forest,Von: Mike Brooks,Spieldauer: 12 Std. und 15 Min.
Die Ehre Roms,Von: Simon Scarrow,Spieldauer: 12 Std. und 29 Min.
Das Leben schwer nehmen ist einfach zu anstrengend - Vorwort von Lars Amend,"Von: Susan Sideropoulos, Lars Amend",Spieldauer: 5 Std. und 14 Min.
"Pech im Spiel, Glück in der Liebe",Von: Poppy J. Anderson,Spieldauer: 9 Std. und 39 Min.
Die spürst du nicht,Von: Daniel Glattauer,Spieldauer: 8 Std. und 46 Min.
Die schlafenden Geister des Lake Superior,Von: Ben Aaronovitch,Spieldauer: 5 Std. und 11 Min.
Liebe oder Eierlikör - Fast eine Romanze,Von: Dora Heldt,Spieldauer: 7 Std. und 46 Min.
Elenium - Die Rose aus Saphir,Von: David Eddings,Spieldauer: 19 Std. und 43 Min.
Der Paria,"Von: Anthony Ryan, Sara Riffel - Übersetzer",Spieldauer: 24 Std. und 14 Min.
Bruder gegen Bruder - Die Til-Nara-Front 2,Von: Stefan Burban,Spieldauer: 11 Std. und 11 Min.
Der Arulanische Zirkel,Von: Cliff Allister,Spieldauer: 8 Std. und 4 Min.
Imperium Secundus - Ein Licht im Dunkel,Von: Dan Abnett,Spieldauer: 12 Std. und 20 Min.
Atlas - Die Geschichte von Pa Salt,"Von: Lucinda Riley, Harry Whittaker, Sonja Hauser - Übersetzer, Karin Dufner - Übersetzer, Sibylle Schmidt - Übersetzer, Ursula Wulfekamp - Übersetzer",Spieldauer: 23 Std. und 16 Min.
Elternabend,Von: Sebastian Fitzek,Spieldauer: 5 Std. und 48 Min.
Über die Psychologie des Geldes,Von: Morgan Housel,Spieldauer: 6 Std. und 37 Min.
Liebste Tochter,"Von: Claire Douglas, Ivana Marinović - Übersetzer",Spieldauer: 12 Std. und 56 Min.
War and Queens,Von: Jennifer L. Armentrout,Spieldauer: 27 Std. und 26 Min.
Am Faden des Spielers,Von: Alexander Hartung,Spieldauer: 7 Std. und 38 Min.
Der Stillmacher,Von: Chris Karlden,Spieldauer: 7 Std. und 10 Min.
Blutnacht,"Von: Thomas Enger, Jørn Lier Horst, Günther Frauenlob - Übersetzer, Maike Dörries - Übersetzer",Spieldauer: 9 Std. und 36 Min.
The Lion: Son of the Forest,Von: Mike Brooks,Spieldauer: 12 Std. und 15 Min.
Die Ehre Roms,Von: Simon Scarrow,Spieldauer: 12 Std. und 29 Min.
Das Leben schwer nehmen ist einfach zu anstrengend - Vorwort von Lars Amend,"Von: Susan Sideropoulos, Lars Amend",Spieldauer: 5 Std. und 14 Min.
"Pech im Spiel, Glück in der Liebe",Von: Poppy J. Anderson,Spieldauer: 9 Std. und 39 Min.
Die spürst du nicht,Von: Daniel Glattauer,Spieldauer: 8 Std. und 46 Min.
Die schlafenden Geister des Lake Superior,Von: Ben Aaronovitch,Spieldauer: 5 Std. und 11 Min.
Liebe oder Eierlikör - Fast eine Romanze,Von: Dora Heldt,Spieldauer: 7 Std. und 46 Min.
Elenium - Die Rose aus Saphir,Von: David Eddings,Spieldauer: 19 Std. und 43 Min.
Der Paria,"Von: Anthony Ryan, Sara Riffel - Übersetzer",Spieldauer: 24 Std. und 14 Min.
Bruder gegen Bruder - Die Til-Nara-Front 2,Von: Stefan Burban,Spieldauer: 11 Std. und 11 Min.
Der Arulanische Zirkel,Von: Cliff Allister,Spieldauer: 8 Std. und 4 Min.
Imperium Secundus - Ein Licht im Dunkel,Von: Dan Abnett,Spieldauer: 12 Std. und 20 Min.
Atlas - Die Geschichte von Pa Salt,"Von: Lucinda Riley, Harry Whittaker, Sonja Hauser - Übersetzer, Karin Dufner - Übersetzer, Sibylle Schmidt - Übersetzer, Ursula Wulfekamp - Übersetzer",Spieldauer: 23 Std. und 16 Min.
Elternabend,Von: Sebastian Fitzek,Spieldauer: 5 Std. und 48 Min.
Über die Psychologie des Geldes,Von: Morgan Housel,Spieldauer: 6 Std. und 37 Min.
Liebste Tochter,"Von: Claire Douglas, Ivana Marinović - Übersetzer",Spieldauer: 12 Std. und 56 Min.
War and Queens,Von: Jennifer L. Armentrout,Spieldauer: 27 Std. und 26 Min.
Am Faden des Spielers,Von: Alexander Hartung,Spieldauer: 7 Std. und 38 Min.
Der Stillmacher,Von: Chris Karlden,Spieldauer: 7 Std. und 10 Min.
Blutnacht,"Von: Thomas Enger, Jørn Lier Horst, Günther Frauenlob - Übersetzer, Maike Dörries - Übersetzer",Spieldauer: 9 Std. und 36 Min.
The Lion: Son of the Forest,Von: Mike Brooks,Spieldauer: 12 Std. und 15 Min.
Die Ehre Roms,Von: Simon Scarrow,Spieldauer: 12 Std. und 29 Min.
Das Leben schwer nehmen ist einfach zu anstrengend - Vorwort von Lars Amend,"Von: Susan Sideropoulos, Lars Amend",Spieldauer: 5 Std. und 14 Min.
"Pech im Spiel, Glück in der Liebe",Von: Poppy J. Anderson,Spieldauer: 9 Std. und 39 Min.
Die spürst du nicht,Von: Daniel Glattauer,Spieldauer: 8 Std. und 46 Min.
Die schlafenden Geister des Lake Superior,Von: Ben Aaronovitch,Spieldauer: 5 Std. und 11 Min.
Liebe oder Eierlikör - Fast eine Romanze,Von: Dora Heldt,Spieldauer: 7 Std. und 46 Min.
Elenium - Die Rose aus Saphir,Von: David Eddings,Spieldauer: 19 Std. und 43 Min.
Der Paria,"Von: Anthony Ryan, Sara Riffel - Übersetzer",Spieldauer: 24 Std. und 14 Min.
Bruder gegen Bruder - Die Til-Nara-Front 2,Von: Stefan Burban,Spieldauer: 11 Std. und 11 Min.
Der Arulanische Zirkel,Von: Cliff Allister,Spieldauer: 8 Std. und 4 Min.
Imperium Secundus - Ein Licht im Dunkel,Von: Dan Abnett,Spieldauer: 12 Std. und 20 Min.
Atlas - Die Geschichte von Pa Salt,"Von: Lucinda Riley, Harry Whittaker, Sonja Hauser - Übersetzer, Karin Dufner - Übersetzer, Sibylle Schmidt - Übersetzer, Ursula Wulfekamp - Übersetzer",Spieldauer: 23 Std. und 16 Min.
Elternabend,Von: Sebastian Fitzek,Spieldauer: 5 Std. und 48 Min.
Über die Psychologie des Geldes,Von: Morgan Housel,Spieldauer: 6 Std. und 37 Min.
Liebste Tochter,"Von: Claire Douglas, Ivana Marinović - Übersetzer",Spieldauer: 12 Std. und 56 Min.
War and Queens,Von: Jennifer L. Armentrout,Spieldauer: 27 Std. und 26 Min.
Am Faden des Spielers,Von: Alexander Hartung,Spieldauer: 7 Std. und 38 Min.
Der Stillmacher,Von: Chris Karlden,Spieldauer: 7 Std. und 10 Min.
Blutnacht,"Von: Thomas Enger, Jørn Lier Horst, Günther Frauenlob - Übersetzer, Maike Dörries - Übersetzer",Spieldauer: 9 Std. und 36 Min.
The Lion: Son of the Forest,Von: Mike Brooks,Spieldauer: 12 Std. und 15 Min.
Die Ehre Roms,Von: Simon Scarrow,Spieldauer: 12 Std. und 29 Min.
Das Leben schwer nehmen ist einfach zu anstrengend - Vorwort von Lars Amend,"Von: Susan Sideropoulos, Lars Amend",Spieldauer: 5 Std. und 14 Min.
"Pech im Spiel, Glück in der Liebe",Von: Poppy J. Anderson,Spieldauer: 9 Std. und 39 Min.
Die spürst du nicht,Von: Daniel Glattauer,Spieldauer: 8 Std. und 46 Min.
Die schlafenden Geister des Lake Superior,Von: Ben Aaronovitch,Spieldauer: 5 Std. und 11 Min.
Liebe oder Eierlikör - Fast eine Romanze,Von: Dora Heldt,Spieldauer: 7 Std. und 46 Min.
Elenium - Die Rose aus Saphir,Von: David Eddings,Spieldauer: 19 Std. und 43 Min.
Der Paria,"Von: Anthony Ryan, Sara Riffel - Übersetzer",Spieldauer: 24 Std. und 14 Min.
Bruder gegen Bruder - Die Til-Nara-Front 2,Von: Stefan Burban,Spieldauer: 11 Std. und 11 Min.
Der Arulanische Zirkel,Von: Cliff Allister,Spieldauer: 8 Std. und 4 Min.
Imperium Secundus - Ein Licht im Dunkel,Von: Dan Abnett,Spieldauer: 12 Std. und 20 Min.
°C – Celsius,Von: Marc Elsberg,Spieldauer: 13 Std. und 51 Min.
Zeichen & Omen,Von: Marah Woolf,Spieldauer: 15 Std. und 29 Min.
Tödliche Ufer,Von: Doris Litz,Spieldauer: 10 Std. und 38 Min.
Dunkle Verbindungen. Ein Portugal-Krimi,Von: Gil Ribeiro,Spieldauer: 9 Std. und 32 Min.
Patientin Zero,Von: Will Jordan,Spieldauer: 12 Std. und 53 Min.
Der zersplitterte Rat,Von: Tao Wong,Spieldauer: 14 Std. und 39 Min.
Der Dornenthron,Von: Jennifer Estep,Spieldauer: 17 Std.
Der Verrat des Kaimans,Von: Aimée Carter,Spieldauer: 9 Std. und 15 Min.
Das Experiment Hingabe,Von: Michael Alan Singer,Spieldauer: 9 Std. und 11 Min.
Muskeln - die Gesundmacher,Von: Ingo Froböse,Spieldauer: 8 Std. und 37 Min.
Ein Prinz auf Abwegen,Von: Rhys Bowen,Spieldauer: 10 Std. und 31 Min.
Finde in Deine Lebensbalance,Von: Kurt Tepperwein,Spieldauer: 1 Std. und 18 Min.
Suzukis Rache,"Von: Kotaro Isaka, Sabine Mangold - Übersetzer",Spieldauer: 8 Std. und 43 Min.
Zeitreisen für Fortgeschrittene,Von: Jennifer Alice Jager,Spieldauer: 13 Std. und 48 Min.
Victory City,"Von: Salman Rushdie, Bernhard Robben - Übersetzer",Spieldauer: 13 Std. und 53 Min.
Wenn Tote nicht schweigen,Von: Salim Güler,Spieldauer: 7 Std. und 11 Min.
Das Wiegenlied,Von: Catherine Shepherd,Spieldauer: 7 Std. und 29 Min.
Tödlicher Schlaf,Von: Christoph Elbern,Spieldauer: 11 Std. und 9 Min.
Die widerspenstige Witwe,"Von: Georgette Heyer, Edmund Th. Kauer - Übersetzer",Spieldauer: 10 Std. und 58 Min.
The Greatness Mindset,Von: Lewis Howes,Spieldauer: 9 Std. und 7 Min.
Agnes geht,Von: Katja Keweritsch,Spieldauer: 8 Std. und 38 Min.
Vier Leichen und ein Todesfall,Von: Andreas Erlenkamp,Spieldauer: 7 Std. und 13 Min.
Black Bird Academy - Töte die Dunkelheit,Von: Stella Tack,Spieldauer: 18 Std. und 17 Min.
Zum Kaffee bei Mr. Dalton. Dunkle Magie,Von: Lilly Labord,Spieldauer: 6 Std. und 49 Min.
Nordwestschuld,Von: Svea Jensen,Spieldauer: 9 Std. und 23 Min.
Todesküste,Von: Katharina Peters,Spieldauer: 10 Std. und 42 Min.
Verachtung,Von: Dr. Pablo Hagemeyer,Spieldauer: 8 Std. und 41 Min.
Das Ende der Ehe,Von: Emilia Roig,Spieldauer: 10 Std. und 6 Min.
Invasion - Das letzte Gefecht,"Von: Joshua Tree, Dominik Meier",Spieldauer: 8 Std. und 27 Min.
Der Unbekannte,Von: Christine Brand,Spieldauer: 13 Std. und 11 Min.
Der Morgen,Von: Marc Raabe,Spieldauer: 16 Std. und 24 Min.
One of the Girls,Von: Lucy Clarke,Spieldauer: 11 Std. und 18 Min.
Foolish Puckboy,"Von: Eden Finley, Saxon James",Spieldauer: 6 Std. und 47 Min.
Reserve [Spare],Von: Prinz Harry,Spieldauer: 19 Std. und 55 Min.
World of Warcraft: Arthas - Aufstieg des Lichkönigs - Roman zum Game,Von: Christie Golden,Spieldauer: 12 Std. und 25 Min.
Der Junge von Angel Falls,Von: Kristin Hannah,Spieldauer: 7 Std. und 51 Min.
Antelligent Design,Von: RinoZ,Spieldauer: 19 Std. und 9 Min.
Noch wach?,Von: Benjamin von Stuckrad-Barre,Spieldauer: 11 Std. und 39 Min.
Der leichte Einstieg in die Welt der ETFs,Von: Gerd Kommer,Spieldauer: 6 Std. und 35 Min.
Like Ice we break,Von: Ayla Dade,Spieldauer: 12 Std. und 14 Min.
"Sie sind doch DER LEHRER, oder?",Von: Hendrik Duryn,Spieldauer: 8 Std. und 4 Min.
Eifelwolf,Von: Rudolf Jagusch,Spieldauer: 8 Std. und 29 Min.
Vergissmeinnicht - Was bisher verloren war,Von: Kerstin Gier,Spieldauer: 11 Std. und 40 Min.
"""Wir waren glücklich hier""",Von: Christoph Reuter,Spieldauer: 10 Std. und 24 Min.
Lily & Noah,Von: Talina Leandro,Spieldauer: 7 Std. und 48 Min.
Mein Traumkind,Von: Noah Fitz,Spieldauer: 8 Std. und 38 Min.
Expedition der Mausbiber,Von: Kurt Mahr,Spieldauer: 17 Std. und 54 Min.
Mindset,Von: Sebastian Hotz,Spieldauer: 5 Std. und 45 Min.
Plötzlich Daddy - Eine Familie mit Mr. Right,Von: Ava Avery,Spieldauer: 5 Std. und 52 Min.
"Chronische Erschöpfung, Depressionen, Niedergeschlagenheit, das Gefühl der ständigen Überforderung",Von: Tanja Kohl,Spieldauer: 2 Std. und 34 Min.
Like Shadows we hide,Von: Ayla Dade,Spieldauer: 12 Std. und 20 Min.
Wir entdecken Meerestiere,"Von: Anne Ebert, Andrea Erne",Spieldauer: 1 Std. und 8 Min.
Französisch lernen beim Autofahren,Von: Ambo Language Learning,Spieldauer: 20 Std. und 12 Min.
One uncontrollable Kiss,Von: Philippa L. Andersson,Spieldauer: 10 Std. und 19 Min.
Wiederbelebung des Herzens,"Von: Natasha Knight, A. Zavarelli",Spieldauer: 8 Std. und 36 Min.
Der liebende Narzisst,Von: Oliver Domröse,Spieldauer: 8 Std. und 10 Min.
Leben in Fülle,Von: Dr. Deepak Chopra,Spieldauer: 8 Std. und 2 Min.
Taken & Torn: Das Willow Vermächtnis,Von: Natasha Knight,Spieldauer: 14 Std. und 28 Min.
"Der Spion, der mich liebte",Von: Ian Fleming,Spieldauer: 5 Std. und 21 Min.
"Jana, 39, Ungeküsst",Von: Jana Crämer,Spieldauer: 6 Std. und 38 Min.
Das letzte Vermächtnis,Von: Ernst Jakob,Spieldauer: 10 Std. und 25 Min.
Alpharebell,Von: Anna Lowe,Spieldauer: 8 Std. und 52 Min.
Das grüne Königreich,"Von: Cornelia Funke, Tammi Hartung",Spieldauer: 4 Std. und 10 Min.
"Ich fühle was, was du nicht siehst",Von: Carina Thiemann,Spieldauer: 5 Std. und 7 Min.
Jake's Magischer Markt,Von: J.R. Mathews,Spieldauer: 24 Std. und 10 Min.
Dunkler Aufstieg,Von: Kim Richardson,Spieldauer: 8 Std. und 35 Min.
Zwischen Welten,"Von: Juli Zeh, Simon Urban",Spieldauer: 12 Std. und 46 Min.
Demokratie im Feuer,Von: Jonas Schaible,Spieldauer: 7 Std. und 35 Min.
Der Untergang von Númenor,"Von: J.R.R. Tolkien, Helmut W. Pesch - Übersetzer",Spieldauer: 11 Std. und 57 Min.
Trinkerbelle,Von: Mimi,Spieldauer: 7 Std. und 34 Min.
Hirngespenster,"Von: Ivonne Keller, Stina Jensen",Spieldauer: 12 Std. und 46 Min.
Wenn der Mordmann kommt,Von: Friedrich Ani,Spieldauer: 7 Std. und 17 Min.
Love and Hockey - Matt & Maddie,Von: Saskia Louis,Spieldauer: 9 Std. und 47 Min.
Glück im Unglück,Von: Constantin Schreiber,Spieldauer: 3 Std. und 24 Min.
The Devil Wears Black,"Von: L. J. Shen, Anne Morgenrau - Übersetzer",Spieldauer: 13 Std. und 14 Min.
Bastiano Romano (Die fünf Syndikate),Von: Parker S. Huntington,Spieldauer: 14 Std. und 2 Min.
Millenniumsspiel - Silberblut,Von: Clannon Miller,Spieldauer: 18 Std. und 58 Min.
Kompass für die Seele,Von: Bas Kast,Spieldauer: 7 Std. und 39 Min.
Life Force,"Von: Tony Robbins, Peter Diamandis, Robert Hariri",Spieldauer: 29 Std. und 19 Min.
Hamish Macbeth vergeht das Grinsen,"Von: M. C. Beaton, Sabine Schilasky - Übersetzer",Spieldauer: 6 Std. und 31 Min.
Ostseenebel,Von: Eva Almstädt,Spieldauer: 10 Std. und 18 Min.
Feinde,Von: John Grisham,Spieldauer: 19 Std. und 51 Min.
Schiffe versenken,Von: Moritz Matthies,Spieldauer: 6 Std. und 22 Min.
Das Geheimnis der Drachen,Von: Sarah K. L. Wilson,Spieldauer: 10 Std. und 6 Min.
Die Kinder von Beauvallon,Von: Bettina Storks,Spieldauer: 11 Std. und 23 Min.
Count On You,"Von: Morgane Moncomble, Ulrike Werner-Richter - Übersetzer",Spieldauer: 11 Std. und 30 Min.
Zeta 1,Von: Andreas Brandhorst,Spieldauer: 3 Std. und 19 Min.
Wer wir sind,Von: Stefanie Stahl,Spieldauer: 11 Std. und 17 Min.
Kirmes im Kopf,Von: Angelina Boerger,Spieldauer: 8 Std. und 19 Min.
Verachtung - Carl Mørck,"Von: Jussi Adler-Olsen, Jana Ronte-Versch",Spieldauer: 12 Std. und 32 Min.
Gegen alle Regeln,"Von: Steve Cavanagh, Fred Kinzel - Übersetzer",Spieldauer: 14 Std. und 15 Min.
Morddurst,Von: Frederic Hecker,Spieldauer: 16 Std. und 41 Min.
White Witch - Die Tochter der Göttin,Von: Jennifer Wolf,Spieldauer: 7 Std. und 55 Min.
Kleine Storys über große Themen,Von: Karin Kuschik,Spieldauer: 2 Std. und 18 Min.
"Hallo, Sommer",Von: Mary Kay Andrews,Spieldauer: 19 Std. und 30 Min.
Verlorene Liebe,Von: Michael Anderle,Spieldauer: 7 Std. und 41 Min.
VIDAN Staffel 2 - Schrei nach Stille,"Von: Raimon Weber, Uwe-J. Kaddik",Spieldauer: 8 Std. und 31 Min.
Die Stadt der Träumenden Bücher,Von: Walter Moers,Spieldauer: 17 Std. und 30 Min.
Die Frauen von Capri - Im blauen Meer der Tage,Von: Antonia Riepp,Spieldauer: 16 Std. und 20 Min.
Hass,Von: Seyda Kurt,Spieldauer: 4 Std. und 43 Min.
Schwarzer Tod,Von: Greg Iles,Spieldauer: 20 Std. und 21 Min.
Der Weg der Highlanderin,Von: Eva Fellner,Spieldauer: 12 Std. und 58 Min.
A.R.G.O.S. - Lizenz zum Sterben,Von: Thomas Finn,Spieldauer: 19 Std. und 26 Min.
Das kleine Gespenst. Das Hörspiel zum Kinofilm,Von: Otfried Preußler,Spieldauer: 1 Std. und 16 Min.
Boss Love - Adrian,Von: Allie Kinsley,Spieldauer: 4 Std. und 3 Min.
Wenn Magie erwacht,Von: Bianca Iosivoni,Spieldauer: 11 Std. und 44 Min.
Leuchtturmsommer,Von: Marie Merburg,Spieldauer: 12 Std. und 7 Min.
Zur See,Von: Dörte Hansen,Spieldauer: 7 Std. und 4 Min.
Das geheime Wissen der Ninja,Von: Bernhard Moestl,Spieldauer: 3 Std. und 26 Min.
Als die Demokratie starb,Von: Thomas Weber,Spieldauer: 9 Std. und 31 Min.
Jetzt reicht's!,Von: Jeff Kinney,Spieldauer: 1 Std. und 18 Min.
Der verlorene Sohn,"Von: Gregg Hurwitz, Anton Artes - Übersetzer, Noah Sievernich - Übersetzer",Spieldauer: 15 Std. und 1 Min.
Die unheimliche Stille,"Von: Harald Lesch, Harald Zaun",Spieldauer: 9 Std. und 41 Min.
Hier geht's hoch,Von: Doris Märtin,Spieldauer: 8 Std. und 43 Min.
Muschelträume,Von: Svenja Lassen,Spieldauer: 7 Std. und 36 Min.
Zornige Flut,Von: Sabine Weiß,Spieldauer: 8 Std. und 55 Min.
Das Geheimnis von Oxburn Castle,Von: Gitta Edelmann,Spieldauer: 4 Std. und 19 Min.
SpecOps,"Von: Craig Alanson, Andreas Helweg - translator",Spieldauer: 18 Std. und 59 Min.
Drifter der Dungeonwelt,"Von: Tao Wong, Craig Hamilton",Spieldauer: 14 Std. und 42 Min.
Sörensen sieht Land,Von: Sven Stricker,Spieldauer: 13 Std. und 53 Min.
Ein gefährliches Spiel,"Von: Matthew Costello, Neil Richards, Sabine Schilasky - Übersetzer",Spieldauer: 3 Std. und 48 Min.
Hinter dem falschen Glanz,Von: Hanna Caspian,Spieldauer: 13 Std. und 29 Min.
Im Babyglück mit Mr. Bigboss,Von: Christine Troy,Spieldauer: 5 Std. und 16 Min.
Kälte,"Von: Tom Rob Smith, Michael Pfingstl - Übersetzer",Spieldauer: 12 Std. und 20 Min.
Der Taucher,Von: Mathijs Deen,Spieldauer: 9 Std. und 22 Min.
Wien,Von: Jule Pieper,Spieldauer: 6 Std.
Das Grab in der Ardèche,Von: Christophe Villain,Spieldauer: 10 Std. und 43 Min.
"Fühlst du, wie sie leiden?",Von: Gunnar Schwarz,Spieldauer: 8 Std.
Im Schatten der Rache bei St. Peter-Ording,Von: Stefanie Schreiber,Spieldauer: 8 Std. und 39 Min.
Die Liebe an miesen Tagen,Von: Ewald Arenz,Spieldauer: 10 Std. und 17 Min.
Mein Leben in deinem,Von: Jojo Moyes,Spieldauer: 14 Std. und 6 Min.
Schwarze Dünen: John Benthiens neunter Fall,"Von: Nina Ohlandt, Jan F. Wielpütz",Spieldauer: 13 Std. und 39 Min.
Mimik,Von: Sebastian Fitzek,Spieldauer: 7 Std. und 58 Min.
Be My First,"Von: Jay McLean, Tamara Reisinger - Übersetzer",Spieldauer: 10 Std. und 27 Min.
"Vater, Mutter, Kind","Von: Ivonne Keller, Stina Jensen",Spieldauer: 11 Std. und 48 Min.
Der Zwei-Wochen-Fluch,Von: Michael Chatfield,Spieldauer: 19 Std. und 52 Min.
Das Ende des Kapitalismus,Von: Ulrike Herrmann,Spieldauer: 7 Std. und 48 Min.
Der Strand - Verraten,Von: Karen Sander,Spieldauer: 7 Std. und 55 Min.
Der untote Prinz,Von: Teresa Sporrer,Spieldauer: 12 Std. und 39 Min.
Menschenjäger,Von: Jack Carr,Spieldauer: 15 Std. und 13 Min.
So Close,"Von: Sylvia Day, Jens Plassmann - Übersetzer",Spieldauer: 13 Std. und 26 Min.
He Who Fights with Monsters 9,"Von: Shirtaloon, Travis Deverell",Spieldauer: 28 Std. und 3 Min.
Lavendel-Zorn,Von: Carine Bernard,Spieldauer: 7 Std. und 57 Min.
Zeit in Scherben,Von: Dayton Ward,Spieldauer: 14 Std. und 5 Min.
Die Macht Ihres Unterbewusstseins,Von: Joseph Murphy,Spieldauer: 8 Std. und 55 Min.
Die Moskau-Connection,"Von: Markus Wehner, Reinhard Bingener",Spieldauer: 9 Std. und 25 Min.
Der Magier im Kreml,Von: Giuliano Da Empoli,Spieldauer: 8 Std. und 11 Min.
Lebensenergie,Von: Dr. Ulrich Strunz,Spieldauer: 5 Std. und 23 Min.
Talus - Die Runen der Macht,Von: Liza Grimm,Spieldauer: 11 Std. und 7 Min.
Liar's Poker,Von: Michael Lewis,Spieldauer: 10 Std. und 16 Min.
8 Rules of Love,Von: Jay Shetty,Spieldauer: 10 Std. und 10 Min.
Tod oder Reben,Von: Michael Böckler,Spieldauer: 10 Std. und 29 Min.
Spanisch lernen beim Autofahren,Von: Ambo Language Learning,Spieldauer: 22 Std. und 3 Min.
Chaoskuss,Von: Teresa Sporrer,Spieldauer: 9 Std. und 22 Min.
Enna Andersen und die verlorene Zeit,Von: Anna Johannsen,Spieldauer: 8 Std. und 6 Min.
Warten auf ein Wunder,Von: Anna McPartlin,Spieldauer: 12 Std. und 14 Min.
Dunkelwald,"Von: Johanna Mo, Ulrike Brauns - Übersetzer",Spieldauer: 11 Std. und 13 Min.
Dünensturm,Von: Sven Koch,Spieldauer: 9 Std. und 26 Min.
Das Mädchen und der General,Von: Ralf Langroth,Spieldauer: 10 Std. und 7 Min.
Der Tote im Kornkreis,Von: Mina Giers,Spieldauer: 6 Std. und 28 Min.
Erfüllte Sehnsucht,Von: Kimmy Reeve,Spieldauer: 15 Std. und 41 Min.
Der Glanz verlorener Zeiten,Von: Karen Elste,Spieldauer: 11 Std. und 59 Min.
Equilon,Von: Sarah Raich,Spieldauer: 11 Std. und 26 Min.
Das Haus der Schwestern,Von: Charlotte Link,Spieldauer: 23 Std. und 38 Min.
Dein kaltes Herz,Von: Sharon Bolton,Spieldauer: 11 Std. und 21 Min.
The Mountain is You,Von: Brianna Wiest,Spieldauer: 6 Std. und 9 Min.
Feuer im Alten Land,Von: Hanna Paulsen,Spieldauer: 10 Std. und 12 Min.
Wähle die Freude,"Von: Sisse Find, Kerstin Schöps - Übersetzer",Spieldauer: 6 Std. und 56 Min.
Die Eifelgräfin,Von: Petra Schier,Spieldauer: 14 Std. und 1 Min.
Der Bruder,Von: Christine Brand,Spieldauer: 12 Std. und 56 Min.
Der König der Federträger,Von: Barbara Laban,Spieldauer: 9 Std. und 13 Min.
Spinnennetz,"Von: Lars Kepler, Thorsten Alms - Übersetzer, Susanne Dahmann - Übersetzer",Spieldauer: 15 Std. und 30 Min.
Ohne Panzer ohne Straßen,Von: Franz Taut,Spieldauer: 7 Std. und 53 Min.
Russlands Werk und Deutschlands Beitrag,Von: Thomas Mayer,Spieldauer: 5 Std. und 58 Min.
Hass,Von: Jack Carr,Spieldauer: 18 Std. und 18 Min.
The Gipsy Gentleman,"Von: Monica Bellini, Lisa Torberg",Spieldauer: 6 Std. und 54 Min.
Magic Academy - Der letzte Kampf,Von: Rachel E. Carter,Spieldauer: 12 Std. und 20 Min.
Die geheime Geschichte,"Von: Donna Tartt, Rainer Schmidt - Übersetzer",Spieldauer: 23 Std. und 2 Min.
Tod im Morgenrot,Von: Ellen Barksdale,Spieldauer: 4 Std. und 4 Min.
Tears of Liscor,Von: pirateaba,Spieldauer: 45 Std. und 21 Min.
